_,ar,az,bn,de,en,es,fa,fi,fr,hi,in,it,ms,nl,no,pl,pt,ru,si,sw,th,tr,ur,vi,zh
About,"عن الخدمة",Haqqında,সম্পর্কে,Über,About,"acerca de",درباره,Tietoa,Sur,"के बारे में",Tentang,Circa,Mengenai,"Over ons",,,Sobre,"О нас",pilibada,,เกี่ยวกับ,Hakkında,"کے متعلق","Giới thiệu",
Access_Deneied_Guide,"الرجاء الضغط على الرابط الذي استلمته بواسطة رسالة نصية للدخول الى Mobile Academy .","Mobil Akademiyaya giriş əldə etmək üçün sizə SMS vasitəsilə göndərilmiş linki tıklayın.","মুঠোফোনের বিদ্যালয়ে প্রবেশের জন্য তুমি বার্তার মাধ্যমে যে লিংক পেয়েছ তাতে ক্লিক করো।","Bitte klicken Sie auf den Link, den Sie per SMS erhalten haben, um auf die Mobile Academy zuzugreifen.","Please click on the link that you got by SMS to access Mobile Academy.","Por favor, haz clic en el enlace que tienes por SMS para acceder a Mobile Academy","لطفاً بر روی لینکی که از طریق SMS دریافت کردید کلیک کنید تا به آکادمی موبایل دسترسی پیدا کنید.","Napsauta tekstiviestillä saamaasi linkkiä päästäksesi Mobile Academyyn.","S'il vous plaît, cliquez sur le lien que vous avez obtenu par SMS pour accéder l'Mobile Academy.","मोबाइल अकादमी का उपयोग करने के लिए आप एसएमएस द्वारा प्राप्त लिंक पर क्लिक करें।","Silakan mengeklik tautan yang Anda peroleh melalui SMS untuk mengakses Mobile Academy.","Per accedere alla Mobile Academy, si prega di cliccare sul link che hai ricevuto tramite SMS","Sila klik pada pautan yang ada dapat melalui SMS untuk mengakses Akademi Telefon Bimbit.","Om toegang te krijgen tot Mobile Academy moet je op de link klikken die je per sms ontvangen hebt.",,,"Favor clicar no link que você recebeu por SMS para aceder à Academia Móvel.","Используйте ссылку полученную в СМС для доступа к Мобильной Академии.","karunaakara obata SMS magin labunu link eka ebeemen jangama akadamiyata piwisenna.",,"โปรดคลิกที่ลิงก์ที่คุณได้รับทาง SMS เพื่อเข้าถึง Mobile Academy","Öğrenme Kulübü'e erişmek için lütfen SMS ile aldığınız bağlantıya tıklayın.","برائے مہربانی مابائل اکیڈمی تک رسائی کے لئے اُس لنک پر کلک کریں جو آپ کو بطور موبائل فون پر بذریعہ ایس۔ایم۔ایس حاصل ہوا ہے","Vui lòng nhấn vào liên kết mà bạn nhận qua SMS để truy cập Học viện Di động.",
Access_Denied,"لا يمكنك الدخول","Giriş qadağandır.","প্রবেশাধিকার নেই","Zugriff verweigert","Access Denied","Acceso en proceso","دسترسی ممکن نیست","Pääsy estetty","Accès Refusé","उपयोग निषेध है","Akses Ditolak","Accesso negato","Akses Dinafikan","Toegang geweigerd",,,"Acesso Negado","Доступ запрещен","praweeshaweeya nohaka",,ปฏิเสธการเข้าถึง,"Erişim Engellendi","رسائی مسترد ہوگئی","Truy cập bị Từ chối",
AddFlashCard,"اضف بعض بطاقات الفلاش الى مكتبتك اولا!","Ilk olaraq kitabxanaya biraz Flaş Kartlar əlavə edin!","প্রথমে তোমার লাইব্রেরিতে কিছু ফ্ল্যাশ কার্ড যোগ করো!","Fügen Sie zuerst einige Flash-Karten zu Ihrer Sammlung hinzu!","Add some Flash Cards to your library first!","¡Agrega algunas tarjetas a la biblioteca primero!","ابتدا چند فلش کارت به کتابخانه خود اضافه کنید","Lisää ensin muistikortteja kirjastoosi!","Ajoutez quelques cartes flash à votre bibliothèque abord!","पहले कुछ फ़्लैश कार्ड अपनी लाइब्रेरी में जोड़ें!","Tambahkan dulu beberapa Flash Card ke perpustakaan Anda!","Installa prima Flash Cards alla tua libreria!","Tambah beberapa Kad Flash untuk perpustakaan anda terlebih dahulu!","Voeg eerst een aantal Flash Cards toe aan je bibliotheek!",,,"Primeiro adicione alguns Cartões Flash à sua biblioteca !","Для начала добавьте Флеш -карту в вашу библиотеку!","prathamayen yam flaesh kaad pathak obagee gonuwata ek karanna!",,เพิ่มบัตรคำบางส่วนลงในคลังข้อมูลของคุณก่อน!,"Kütüphanenize ilk olarak Hafıza Kartları ekleyin!","اپنی لائبریری میں پہلے چند فلیش کارڈ جمع کریں!","Bổ sung thêm một số Thẻ Flash vào thư viện của bạn đã!",
Advantage_Of_Facebook,"اذا اتصلت بفيسبوك, يمكننا اعطائك بعض الإقتراحات التي قد تعجبك","Əgər Facebook vasitəsilə qoşulsanız, xoşunuza gələcək bir neçə təklif göndərə bilərik","যদি আপনি ফেসবুকের সাথে সংযুক্ত থাকেন, তবে আমরা কিছু ভালো প্রস্তাব দিতে পারি যা আপনার পছন্দ হতে পারে।","Wenn Sie sich mit Facebook verbinden, können wir einige gute Vorschläge einschließen, die Sie gerne hören.","If you connect with Facebook, we can include some good suggestions that you may like.","Si te conectas a Facebook , podemos incluir algunas buenas sugerencias que pueden gustarte","اگر به فیسبوک متصل شوید میتوانیم پیشنهادهای خوبی به شما بدهیم که دوست خواهید داشت","Jos yhdistät Facebookiin, voimme antaa sinulle hyviä ehdotuksia, joista saatat pitää.","Si vous vous connectez avec Facebook, nous pouvons inclure quelques bonnes suggestions que vous allez aimer.","अगर आप फेसबुक के साथ कनेक्ट करते हैं, तो हम आपको पसंद आने वाले कुछ अच्छे सुझाव शामिल कर सकते हैं।","Jika Anda terhubung dengan Facebook, kami dapat memberikan beberapa saran yang mungkin Anda sukai.","Se ti connetti con Facebook, possiamo includere alcuni buoni suggerimenti che potrebbero piacerti.","Jika anda berhubung dengan Facebook, kami boleh masukkan beberapa cadangan yang baik yang anda mungkin suka.","Als je inlogt met je Facebook account, kunnen we een aantal goede suggesties voor je doen die bij je passen.",,,"Se você se conectar com o Facebook, nós podemos incluir algumas boas sugestões que você possa gostar.","Подключитесь через Facebook, и вы сможете получить от нас интересные предложения.",,,"หากคุณเชื่อมต่อด้วย Facebook เราจะรวมคำแนะนำดี ๆ บางส่วนที่คุณอาจจะชอบไว้ด้วย","Facebook ile bağlanırsanız, hoşunuza gidebilecek bazı güzel öneriler sunabiliriz.","اگر آپ فیس بُک کے ساتھ منسلک ہیں تو ہم چند اچھی تجاویز شامل کرسکتے ہیں جو کہ شاید آپ کو پسند آئیں","Nếu bạn kết nối với Facebook, chúng tôi có thể đưa ra một số đề xuất tốt mà bạn có thể thích.",
All_Courses,"جميع المواد","Bütün kurslar","সব কোর্স","Alle Kurse","All Courses","Todos los cursos","تمام درسها","Kaikki kurssit","Toutes les Cours","सभी पाठ्यक्रम","Semua Kursus","Tutti i corsi","Semua Kursus","Alle cursussen",,,"Todos os Cursos","Все Курсы","siyalu paatamaalaawan",,หลักสูตรทั้งหมด,"Tüm Kurslar","تمام کورسز","Tất cả các Khóa học",
Already_A_Subscriber,"هل قمت بالتسجيل بالفعل؟","Siz artıq qeydiyyatdan keçmisiniz?","তুমি কি ইতিমধ্যেই নথিভুক্ত?","Hast Du Dich schon angemeldet?","Have you already registered?","Ya te has registrado?","آیا شما در حال حاضر عضو Mobile Academy هستید؟","Oletko jo rekisteröitynyt?","Avez-vous déjà enregistré?","क्या आपने पहले से ही पंजीकरण कर लिया है?","Apa Anda telah terdaftar?","Ti sei già registrato?","Sudahkah anda mendaftar?","Heb jij je al aangemeld?",,,"Já se registrou?","Вы уже зарегистрировались?",,"Je umeshajiandikisha?",คุณลงทะเบียนเรียบร้อยแล้วใช่ไหม?,"Zaten kayıtlı mısınız?","پہلے سی رجسٹریشن کارا لی ہے ؟","Bạn đã đăng ký chưa?",
Babelbay_ChangeYourSpeakingLang,"قم بتغيير اللغة","Dili dəyiş","ভাষা পরিবর্তন করো","Sprache ändern","Change Language","Cambiar el idioma","تغییر زبان","Vaihda kieltä","Modifiez la langue","भाषा बदलें","Ubah Bahasa","Cambia Lingua","Tukar Bahasa","Taal wijzigen",,,"Alterar a Língua","Поменять язык","baashaawa wenas karanna",,เปลี่ยนภาษา,"Dil değiştir","زبان کو تبدیل کریں","Thay đổi Ngôn ngữ",
Babelbay_ChooseYourSpeakingLang,"اختر لغتك الأصلية التي تتحدثها","Danışdığınız dili seçin","তোমার কথা বলার ভাষা নির্বাচন করো","Wählen Sie Ihre Sprache","Choose your speaking language","Elige el idioma hablado","زبان خود را انتخاب کنید","Valitse puhekielesi","Choisissez votre langue francophone","अपनी बोलने की भाषा चुनें","Pilih bahasa percakapan Anda","Scegli la tua lingua","Pilih bahasa ibunda anda","Kies je spreektaal","Begynn å snakk i ditt språk","Wybierz swój język mówiony","Escolha a sua língua falada","Выберите ваш язык","oba kathaa karanaa baashaawa thoaranna","Chagua lugha unayozungumza",เลือกภาษาพูดของคุณ,"Lütfen konuştuğunuz dili seçin","اپنی بولنے والی زبان کا انتخاب کریں","Chọn ngôn ngữ nói của bạn",
BackToTop,"العودة للأعلى",Yuxarıya,"উপরে ফিরে যাও","Zurück zum Anfang","Back to Top","Volver al inicio","بازگشت به ابتدا","Takaisin ylös","Retour au début","शीर्ष पर वापस जाएँ","Kembali ke Atas","Torna all'inizio","Kembali ke Atas","Terug naar boven",,,"Voltar ao Início","Вернуть назад","nawatha ihalata",,กลับไปข้างบน,"Başa Dön","واپس اُوپر جائیں","Quay lại đầu trang",
Back_Button_Caption,عودة,Geriyə,পিছনে,Zurück,Back,atrás,بازگشت,-,Retour,वापस,Kembali,Indietro,Kembali,Terug,,,Voltar,Назад,"pasu pasa",,กลับ,"Geri Dön","پیچھے جائیں","Quay lại",
