Tip,Vinkki,,,
Did you know?,Tiesitkö?,,,
Question,Kysymys,,,
Caution!,Varoitus!,,,
Do,Tee,,,
Don't!,Älä tee!,,,
Example,Esimerkki,,,
Summary,Yhteenveto,,,
Select a Course,Valitse kurssi,,,
Introduction,Johdanto,,,
Take the test Again,Tee testi uudelleen,,,
Review this Chapter,Kertaa tämä luku,,,
All Chapters,Kaikki luvut,,,
You are awesome!,Olet loistava!,,,
Ooops! That is not correct.,Hups! Nyt meni väärin.,,,
THE CORRECT ANSWER:,OIKEA VASTAUS:,,,
LAST BEST SCORE:,VIIMEISIN PARAS PISTEMÄÄRÄ:,,,
Next Question,Seuraava kysymys,,,
TEST SUMMARY,TESTIN YHTEENVETO,,,
TOTAL,YHTEENSÄ,,,
Click on Yes to unsubscribe.,"Napsauta ""Kyllä"" lopettaaksesi tilauksen.",,,
Settings,Asetukset,,,
Courses,Kurssit,,,
Select the meaning of-,Valitse merkitys seuraavalle-,,,
Which of these options indicate-,Mitkä näistä vaihtoehdoista tarkoittavat-,,,
You need to receive,Sinun tulee vastaanottaa,,,
OTHER COURSES,MUUT KURSSIT,,,
Submit,Lähetä,,,
STAR PLAYER REWARD,TÄHTIPELAAJAN PALKINTO,,,
Message,Viesti,,,
Mobile Number,Matkapuhelinnumero,,,
Last Name,Sukunimi,,,
First Name,Etunimi,,,
Email,Sähköposti,,,
Body Language Course,Kehonkielen kurssi,,,
Terms and Conditions,Käyttöehdot,,,
Step,Vaihe,,,
Add some Flash Cards to your library first!,Lisää ensin muistikortteja kirjastoosi!,,,
Test Yourself,Testaa itsesi,,,
Library is Empty.,Kirjasto on tyhjä.,,,
You need to get,Sinun tulee saada,,,
You earned the,Ansaitsit,,,
score to pass this chapter.,pistettä tämän luvun suorittamiseen.,,,
Start the Chapter Again,Aloita luku alusta,,,
Oops!,Hups!,,,
Your Best Score:,Paras pistemääräsi:,,,
Your Score:,Pistemääräsi:,,,
You could do better,Pystyt parempaan,,,
You passed this test successfully!,Suoritit testin onnistuneesti!,,,
Congratulations !,Onneksi olkoon!,,,
Close,Sulje,,,
Save,Tallenna,,,
Contact Us,Ota yhteyttä,,,
UKK,UKK,,,
Language Settings,Kieliasetukset,,,
Start,Aloita,,,
Mobile Academy,Mobile Academy,,,
Sign in with Facebook,Kirjaudu sisään Facebook-tunnuksillasi,,,
Waiting,Odottaa,,,
Takaisin,Takaisin,,,
Profile Settings,Profiiliasetukset,,,
Create your Nickname,Luo lempinimesi,,,
Change your Nickname,Muuta lempinimeäsi,,,
OK,OK,,,
Select a Category,Valitse kategoria,,,
Create your Nickname,Luo lempinimesi,,,
You have successfully Unsubscribed from this service.,Olet nyt lopettanut palvelun tilaamisen.,,,
About,Tietoa,,,
Contact Us,Ota yhteyttä,,,
Terms & Conditions,Käyttöehdot,,,
Take the test,Tee testi,,,
Featured,Suositellut,,,
All Courses,Kaikki kurssit,,,
Chapters,Luvut,,,
Language,Kieli,,,
Prev,Edellinen,,,
Back to Top,Takaisin ylös,,,
This course is locked!,Tämä kurssi on lukittu!,,,
This course is coming soon.,Tämä kurssi on tulossa pian.,,,
You can checkout our other available courses for the meantime.,Voit sillä aikaa katsella muita saatavilla olevia kurssejamme.,,,
Select your language,Valitse kieli,,,
Your Name,Nimesi,,,
Your email,Sähköpostiosoitteesi,,,
Your Mobile Number,Matkapuhelinnumerosi,,,
Type Your Message here,Kirjoita viesti tähän,,,
Send,Lähetä,,,
Your message has been sent. Thank you!,Viestisi on lähetetty. Kiitos!,,,
Please try again.,Yritä uudelleen.,,,
Access Denied,Pääsy estetty,,,
Please click on the link that you got by SMS to access Mobile Academy.,Napsauta tekstiviestillä saamaasi linkkiä päästäksesi Mobile Academyyn.,,,
Choose your speaking language,Valitse puhekielesi,,,
Change Language,Vaihda kieltä,,,
Hello,Hei,,,
Choose your language,Valitse kieli,,,
